;sorted regionally and nationally
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     britons   - - -
;
rebel_type			Brigantes	//Britons
description			Cantabri
unit				iberian infantry light caetratii
unit				iberian infantry light caetratii
unit				iberian infantry medium scutarii
unit				iberian infantry medium scutarii
unit				iberian infantry medium scutarii
unit				iberian skirmisher cavalry equites caetratii
unit				iberian cavalry generals bodyguard

rebel_type 			Bastestani	//iberians and carthaginians Bastetania
category			peasant_revolt
chance				4
description			Bastestani
unit				iberian infantry light caetratii
unit				iberian cavalry light curisii
unit				iberian infantry medium scutarii
unit				iberian infantry medium scutarii
unit				iberian skirmisher cavalry equites caetratii
unit				iberian cavalry generals bodyguard

rebel_type 			Baleari	//iberians and carthaginians Baleares
category			peasant_revolt
chance				3
description			Baleari
unit				iberian missile balearic slinger
unit				iberian missile balearic slinger
unit				iberian cavalry generals bodyguard

rebel_type 			Shardana	//carthage Sardin
category			peasant_revolt
chance				7
description			Shardana
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				african missile cavalry numidian

rebel_type 			Korsim	//carthage Korsim
category			peasant_revolt
chance				7
description			Korsim
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				african missile cavalry numidian

rebel_type 			Mamertine		//Carthage Sicilia
category			peasant_revolt
chance				5
description			Mamertine
unit				greek missile sphendenotai
unit				greek infantry misthophoroi hoplitai
unit				greek infantry misthophoroi hoplitai
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				iberian skirmisher cavalry equites caetratii

rebel_type 			Elim		//Carthage Elimya
category			peasant_revolt
chance				5
description			Elim
unit				greek missile sphendenotai
unit				greek infantry misthophoroi hoplitai
unit				carthaginian infantry mishteret izrahim feenikim rebel

rebel_type 			Carthaginian_Zeugitana		//Carthage Zeugitana
category			peasant_revolt
chance				5
description			Carthaginian_Zeugitana
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Carthaginian_Tripolitania		//Carthage Syrthim
category			peasant_revolt
chance				3
description			Carthaginian_Tripolitania
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Carthaginian		//Carthage Byzacena
category			peasant_revolt
chance				5
description			Carthaginian
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Kena_ani	//carthage Phoenicia
category			peasant_revolt
chance				5
description			Kena_ani
unit				greek skirmisher akontistai
unit				eastern missile shubanfradakshana
unit				hellenistic infantry iudaioi taxeis slave
unit				greek infantry taxeis hoplitai
unit				hellenistic infantry pantodapoi
unit				hellenistic skirmisher cavalry hippakontistai slave

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     macedon   - - -
;
rebel_type 			Makedones		//Macedon Makedonia
category			peasant_revolt
chance				5
description			Makedones
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek infantry taxeis hoplitai
unit				greek cavalry mistophoroi hippeis
unit				greek cavalry hippeis

rebel_type 			Byzantioi	//Macedon Chersonesos_Thraikia
category			peasant_revolt
chance				7
description			Byzantioi
unit				greek infantry taxeis hoplitai
unit				greek skirmisher peltastai

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     greeks   - - -
;
rebel_type 			Bithynoi	//greeks and thracians Bithynia
category			peasant_revolt
chance				7
description			Bithynoi
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek skirmisher peltastai
unit				greek cavalry mistophoroi hippeis

rebel_type 			Phryges	//greeks and thracians Phrygia
category			peasant_revolt
chance				5
description			Phryges
unit				greek infantry taxeis hoplitai
unit				greek cavalry mistophoroi hippeis
unit				dacian infantry getikoi stratiotai

rebel_type 			Epeirotai		//greeks Epeiros
category			peasant_revolt
chance				7
description			Epeirotai
unit				greek infantry taxeis hoplitai
unit				greek infantry taxeis hoplitai

rebel_type 			Lesbioi	//international Lesbos
category			peasant_revolt
chance				5
description			Lesbioi
unit				greek infantry iphikratous hoplitai
unit				greek cavalry hippeis

rebel_type 			Thessaloi	//greeks Thessalia
category			peasant_revolt
chance				3
description			Thessaloi
unit				greek infantry taxeis hoplitai
unit				greek cavalry mistophoroi hippeis
unit				greek cavalry mistophoroi hippeis
unit				greek cavalry hippeis

rebel_type 			Ionians		//greeks
category			peasant_revolt
chance				0
description			Ionians
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek skirmisher peltastai
unit				greek infantry taxeis hoplitai
unit				greek infantry taxeis hoplitai
unit				greek infantry iphikratous hoplitai
unit				greek cavalry mistophoroi hippeis

rebel_type 			Ione_Mysia		//greeks Mysia
category			peasant_revolt
chance				3
description			Ione_Mysia
;unit				greek infantry taxeis phalangitai
unit				hellenistic infantry heavy pezhetairoi
unit				greek cavalry mistophoroi hippeis
unit				greek skirmisher akontistai
unit				greek missile sphendenotai

rebel_type 			Ione		//greeks Lydia
category			peasant_revolt
chance				3
description			Ione
unit				greek infantry taxeis hoplitai
unit				greek infantry iphikratous hoplitai
unit				greek cavalry mistophoroi hippeis

rebel_type 			Aitolioi	//greeks Aitolia
category			peasant_revolt
chance				5
description			Aitolioi
unit				greek infantry taxeis hoplitai
unit				greek skirmisher peltastai
unit				greek skirmisher akontistai
unit				hellenistic skirmisher cavalry hippakontistai slave

rebel_type 			Athenaioi	//greeks Attike
category			peasant_revolt
chance				3
description			Athenaioi
unit				greek infantry taxeis hoplitai
unit				greek infantry iphikratous hoplitai
unit				greek infantry iphikratous hoplitai
unit				greek cavalry mistophoroi hippeis

rebel_type 			Peloponnesioi	//greeks Peloponnesos
category			peasant_revolt
chance				4
description			Peloponnesioi
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek skirmisher peltastai
unit				greek cavalry mistophoroi hippeis

rebel_type 			Lycians		//greeks
category			peasant_revolt
chance				0
description			Lycians
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek skirmisher peltastai
unit				hellenistic skirmisher cavalry hippakontistai slave
unit				hellenistic infantry iudaioi taxeis slave

rebel_type 			Trmmli		//greeks Karia
category			peasant_revolt
chance				7
description			Trmmli
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek skirmisher peltastai

rebel_type 			Kyprioi	//greeks Kypros
category			peasant_revolt
chance				3
description			Kyprioi
unit				greek skirmisher akontistai
unit				greek skirmisher peltastai
unit				greek infantry iphikratous hoplitai

rebel_type 			Syrakousioi	//greeks Trinakrie
category			peasant_revolt
chance				5
description			Syrakousioi
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek skirmisher peltastai
unit				greek infantry iphikratous hoplitai
unit				greek cavalry hippeis

rebel_type 			Heilotes		//greeks Lakonike
category			peasant_revolt
chance				3
description			Heilotes
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek infantry taxeis hoplitai
unit				greek infantry taxeis hoplitai
unit				greek infantry iphikratous hoplitai

rebel_type 			Rhodioi	//greeks Rhodos
category			peasant_revolt
chance				5
description			Rhodioi
unit				greek infantry taxeis hoplitai
unit				greek missile sphendenotai

rebel_type 			Kretai		//greeks Krete
category			peasant_revolt
chance				7
description			Kretai
unit				greek infantry taxeis hoplitai
unit				greek missile toxotai
unit				greek missile toxotai
unit				greek missile toxotai

rebel_type 			Tauri	//greek and scythians Taurike_Chersonesos
category			peasant_revolt
chance				5
description			Tauri
unit				greek infantry taxeis hoplitai
unit				greek infantry iphikratous hoplitai
unit				greek cavalry mistophoroi hippeis
unit				steppe missile cavalry skuda baexdzhyntae

rebel_type 			Bosporitai	//greek and scythians Bosporion_Tyrranesis
category			peasant_revolt
chance				5
description			Bosporitai
unit				greek infantry taxeis hoplitai
unit				greek infantry iphikratous hoplitai
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe missile cavalry skuda fat aexsdzhytae

rebel_type 			Euboieis	//greeks Euboia
category			peasant_revolt
chance				3
description			Euboieis
unit				greek infantry taxeis hoplitai
unit				greek infantry iphikratous hoplitai
unit				greek skirmisher peltastai
unit				hellenistic skirmisher cavalry hippakontistai slave

rebel_type 			Pamphylioi	//greeks Pamphylia
category			peasant_revolt
chance				5
description			Pamphylioi
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek skirmisher peltastai
unit				greek cavalry mistophoroi hippeis

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     romans   - - -
;
rebel_type 			Etruscans	//romans Etruria
category			peasant_revolt
chance				5
description			Etruscans
unit				roman infantry camillan rorarii
unit				roman infantry camillan rorarii
unit				roman skirmisher velites
unit				roman infantry camillan rorarii
unit				roman cavalry polybian eqvites

rebel_type 			Roma_Umbria	//romans Umbria
category			peasant_revolt
chance				5
description			Roma_Umbria
unit				roman infantry camillan rorarii
unit				roman skirmisher velites
unit				roman cavalry polybian eqvites

rebel_type 			Roma_Apulia	//romans, greeks and samnite Apulia
category			peasant_revolt
chance				5
description			Roma_Apulia
unit				samnite infantry spearmen merc
unit				samnite infantry swordsmen merc
unit				greek infantry taxeis hoplitai
unit				greek cavalry mistophoroi hippeis

rebel_type 			Roma_Latium		//Romans Latium2
category			peasant_revolt
chance				7
description			Roma_Latium
unit				roman infantry camillan rorarii
unit				roman skirmisher velites
unit				roman skirmisher velites
unit				roman infantry camillan rorarii
unit				roman infantry camillan rorarii
unit				roman cavalry polybian eqvites

rebel_type 			Tarentine	//romans, greeks and samnite Kalabria
category			peasant_revolt
chance				7
description			Tarentine
unit				samnite infantry spearmen merc
unit				samnite infantry swordsmen merc
unit				greek infantry taxeis hoplitai
unit				greek cavalry mistophoroi hippeis

rebel_type 			Campanians 	//romans, greeks and samnite Campania
category			peasant_revolt
chance				5
description			Campanians
unit				greek skirmisher akontistai
unit				samnite infantry spearmen merc
unit				samnite infantry spearmen merc
unit				samnite infantry swordsmen merc
unit				greek cavalry mistophoroi hippeis

rebel_type 			Leukanoi	//romans, greeks and samnite Brettia
category			peasant_revolt
chance				6
description			Leukanoi
unit				greek skirmisher akontistai
unit				samnite infantry swordsmen merc
unit				samnite infantry spearmen merc

;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non region			based
;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

rebel_type			gladiator_uprising
category			gladiator_revolt
chance				100
description			gladiator_uprising
unit				hellenistic infantry pantodapoi
unit				hellenistic infantry pantodapoi
unit				hellenistic infantry pantodapoi
unit				hellenistic infantry pantodapoi
unit				eastern missile thanvare payahdag
unit				eastern missile thanvare payahdag
unit				eastern missile thanvare payahdag
unit				eastern missile thanvare payahdag

rebel_type			brigands
category			brigands
chance				15
description			brigands
unit				eastern missile thanvare payahdag merc
unit				celtic infantry enoci curoas merc
unit				celtic skirmisher cavalry curepos
unit				greek cavalry hippeis thessalikoi merc
unit				hellenistic infantry misthophoroi phalangitai
unit				hellenistic infantry thureophoroi mercenary
unit				greek skirmisher peltastai mercenary
unit				greek cavalry mistophoroi hippeis
unit				samnite infantry swordsmen merc
unit				greek infantry iphikratous hoplitai
unit				celtic infantry curoas
unit				germanic infantry frameharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry gastiz
unit				steppe missile cavalry skuda fat aexsdzhytae
unit				hellenistic infantry doryphoroi pontikoi

rebel_type			pirates
category			pirates
chance				25
description			pirates
unit				generic ship sea warriors
unit				generic ship small pirate
;unit				generic ship great pirate // Removed by JMRC 2007.10.05


;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;



